time, tag_id, distance, min, sec, index, id,times,  interval,  absence
1, 52292, 148, 08, 00, 1,  0xcc44,36,1,0
2, 52241, 371, 08, 01, 1,  0xcc11,6,2,0
2, 52292, 147, 08, 01, 2,  0xcc44,37,1,0
3, 52292, 153, 08, 01, 1,  0xcc44,38,1,0
4, 52241, 373, 08, 02, 1,  0xcc11,7,2,0
4, 52292, 147, 08, 02, 2,  0xcc44,39,1,0
5, 52292, 153, 08, 03, 1,  0xcc44,40,1,0
6, 52241, 369, 08, 04, 1,  0xcc11,8,2,0
6, 52292, 145, 08, 04, 2,  0xcc44,41,1,0
7, 52292, 154, 08, 05, 1,  0xcc44,42,1,0
8, 52241, 369, 08, 07, 1,  0xcc11,9,2,0
8, 52292, 149, 08, 07, 2,  0xcc44,43,1,0
9, 52292, 151, 08, 08, 1,  0xcc44,44,1,0
10, 52241, 368, 08, 09, 1,  0xcc11,10,2,0
10, 52292, 153, 08, 09, 2,  0xcc44,45,1,0
11, 52292, 153, 08, 10, 1,  0xcc44,46,1,0
12, 52241, 374, 08, 11, 1,  0xcc11,11,2,0
12, 52292, 149, 08, 11, 2,  0xcc44,47,1,0
13, 52292, 149, 08, 12, 1,  0xcc44,48,1,0
14, 52241, 398, 08, 13, 1,  0xcc11,12,2,0
14, 52292, 148, 08, 13, 2,  0xcc44,49,1,0
15, 52292, 159, 08, 14, 1,  0xcc44,50,1,0
16, 52241, 387, 08, 15, 1,  0xcc11,13,2,0
16, 52292, 149, 08, 15, 2,  0xcc44,51,1,0
17, 52292, 157, 08, 16, 1,  0xcc44,52,1,0
18, 52241, 409, 08, 17, 1,  0xcc11,14,2,0
18, 52292, 144, 08, 17, 2,  0xcc44,53,1,0
19, 52292, 153, 08, 18, 1,  0xcc44,54,1,0
20, 52241, 415, 08, 19, 1,  0xcc11,15,2,0
20, 52292, 146, 08, 19, 2,  0xcc44,55,1,0
21, 52292, 151, 08, 20, 1,  0xcc44,56,1,0
22, 52241, 431, 08, 21, 1,  0xcc11,16,2,0
22, 52292, 150, 08, 21, 2,  0xcc44,57,1,0
23, 52292, 153, 08, 22, 1,  0xcc44,58,1,0
24, 52241, 454, 08, 23, 1,  0xcc11,17,2,0
24, 52292, 144, 08, 23, 2,  0xcc44,59,1,0
25, 52292, 148, 08, 24, 1,  0xcc44,60,1,0
26, 52241, 477, 08, 25, 1,  0xcc11,18,2,0
26, 52292, 144, 08, 25, 2,  0xcc44,61,1,0
27, 52292, 151, 08, 26, 1,  0xcc44,62,1,0
28, 52241, 446, 08, 27, 1,  0xcc11,19,2,0
28, 52292, 153, 08, 27, 2,  0xcc44,63,1,0
29, 52292, 152, 08, 28, 1,  0xcc44,64,1,0
30, 52241, 454, 08, 30, 1,  0xcc11,20,2,0
30, 52292, 149, 08, 30, 2,  0xcc44,65,1,0
31, 52292, 149, 08, 30, 1,  0xcc44,66,1,0
32, 52241, 476, 08, 30, 1,  0xcc11,21,2,0
32, 52292, 151, 08, 30, 2,  0xcc44,67,1,0
33, 52292, 157, 08, 34, 1,  0xcc44,68,1,0
34, 52241, 488, 08, 34, 1,  0xcc11,22,2,0
34, 52292, 143, 08, 34, 2,  0xcc44,69,1,0
35, 52292, 156, 08, 34, 1,  0xcc44,70,1,0
36, 52241, 507, 08, 35, 1,  0xcc11,23,2,0
36, 52292, 148, 08, 35, 2,  0xcc44,71,1,0
37, 52292, 148, 08, 36, 1,  0xcc44,72,1,0
38, 52241, 506, 08, 37, 1,  0xcc11,24,2,0
38, 52292, 147, 08, 37, 2,  0xcc44,73,1,0
39, 52292, 156, 08, 38, 1,  0xcc44,74,1,0
40, 52241, 515, 08, 39, 1,  0xcc11,25,2,0
40, 52292, 146, 08, 39, 2,  0xcc44,75,1,0
41, 52292, 155, 08, 39, 1,  0xcc44,76,1,0
42, 52241, 527, 08, 40, 1,  0xcc11,26,2,0
42, 52292, 146, 08, 40, 2,  0xcc44,77,1,0
43, 52292, 158, 08, 41, 1,  0xcc44,78,1,0
44, 52241, 537, 08, 43, 1,  0xcc11,27,2,0
44, 52292, 138, 08, 43, 2,  0xcc44,79,1,0
45, 52292, 142, 08, 44, 1,  0xcc44,80,1,0
46, 52241, 526, 08, 45, 1,  0xcc11,28,2,0
46, 52292, 163, 08, 45, 2,  0xcc44,81,1,0
48, 52241, 560, 08, 47, 1,  0xcc11,29,2,0
50, 52241, 575, 08, 49, 1,  0xcc11,30,2,0
51, 52241, 584, 08, 51, 1,  0xcc11,31,2,0
52, 52241, 597, 08, 53, 1,  0xcc11,32,2,0
53, 52241, 592, 08, 55, 1,  0xcc11,33,2,0
54, 52241, 626, 08, 57, 1,  0xcc11,34,2,0
55, 52241, 621, 08, 59, 1,  0xcc11,35,2,0
